epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,14.8014,1.27888,4.85613,3.28879,1.33073,0.005,1,0.03429,0.01354,0.005,1,0.03429,0.01464,0.87602,1.46092,3.35552,1.4472,4e-05,4e-05,4e-05
2,31.4038,1.2128,2.62564,3.10667,1.33952,0.005,1,0.17561,0.1187,0.005,1,0.17561,0.12099,0.59418,0.58398,3.18639,1.1853,9.802e-05,9.802e-05,9.802e-05
3,49.0141,0.69298,1.58285,2.67855,1.08981,0.005,1,0.54079,0.48443,0.005,1,0.54079,0.4683,0.52688,0.4764,2.9468,1.03034,0.000153664,0.000153664,0.000153664
4,1203.56,0.64578,0.80463,2.19192,1.01062,0.005,1,0.64763,0.57737,0.005,1,0.64763,0.55852,0.55317,0.42909,2.8119,0.99204,0.000206932,0.000206932,0.000206932
5,1219.66,0.99593,1.39043,1.94807,1.2167,0.005,1,0.77333,0.58269,0.005,1,0.77333,0.58901,0.54713,0.39849,2.66209,0.95042,0.000257824,0.000257824,0.000257824
6,1235.57,0.83049,1.29141,1.70212,1.05865,0.98942,0.83333,0.955,0.81639,0.98942,0.83333,0.955,0.82257,0.48398,0.48744,2.23514,0.91141,0.00030634,0.00030634,0.00030634
7,1250.19,0.85579,0.95024,1.59024,1.05013,1,0.87744,0.995,0.84372,1,0.87744,0.995,0.87907,0.62186,0.54409,2.00292,0.92279,0.00035248,0.00035248,0.00035248
8,1264.28,0.8178,0.95409,1.47013,1.13281,0.94777,1,0.995,0.79093,0.94777,1,0.995,0.84039,0.78978,0.42754,1.89934,0.96697,0.000396244,0.000396244,0.000396244
9,1281.74,0.82382,0.76174,1.62509,1.01299,0.93797,1,0.995,0.79933,0.93797,1,0.995,0.86837,0.84748,0.29477,1.82026,0.9949,0.000437632,0.000437632,0.000437632
10,1294.34,0.88749,0.75031,1.4742,0.97625,0.97932,1,0.995,0.85142,0.97932,1,0.995,0.91619,0.54042,0.27911,1.92653,0.91066,0.000476644,0.000476644,0.000476644
